,loss,loss,accuracy,accuracy,top_k_acc,top_k_acc
,train,valid,train,valid,train,valid
epoch-1,1.7010987817116503,0.9299054543177286,0.0830078125,0.703705018939394,0.287109375,0.9313446969696969
epoch-2,1.0589643278211918,0.7466762562592825,0.5576171875,0.736233428030303,0.8662109375,0.9547703598484848
epoch-3,0.8913033458421815,0.6663493712743124,0.6708984375,0.7515269886363636,0.931640625,0.9630208333333333
epoch-4,0.8129424970105009,0.611413816610972,0.68359375,0.7725733901515152,0.9296875,0.9696377840909092
epoch-5,0.7610657440041596,0.5933300455411276,0.7255859375,0.780374053030303,0.9501953125,0.9728929924242425
epoch-6,0.7272609775921084,0.5724662890036901,0.7451171875,0.782220643939394,0.9580078125,0.9689867424242425
epoch-7,0.6994616119366772,0.5477355321248373,0.7626953125,0.7907907196969698,0.9560546875,0.9722419507575758
epoch-8,0.6827094937270543,0.5303632616996765,0.7705078125,0.7870028409090909,0.95703125,0.9722419507575758
epoch-9,0.6630221076731412,0.5299398601055145,0.76171875,0.7935014204545454,0.96484375,0.9757102272727273
epoch-10,0.6507561656664003,0.510342667500178,0.76171875,0.8013139204545454,0.9638671875,0.9778764204545455
epoch-11,0.6314251895220775,0.5055151730775833,0.7626953125,0.805871212121212,0.9638671875,0.9785274621212121
epoch-12,0.626262534339473,0.4955095301071803,0.78125,0.8053267045454545,0.9716796875,0.9804805871212121
